route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
EY:EYAO001:1,EY,1,,,3,,FFFFFF,000000
EY:EYAO002:2,EY,2,,,3,,FFFFFF,000000
EY:EYAO003:3,EY,3,,,3,,FFFFFF,000000
EY:EYAO004:4,EY,4,,,3,,FFFFFF,000000
EY:EYAO005:5,EY,5,,,3,,FFFFFF,000000
EY:EYAO007:7,EY,7,,,3,,FFFFFF,000000
EY:EYAO007A:7A,EY,7A,,,3,,FFFFFF,000000
EY:EYAO008:8,EY,8,,,3,,FFFFFF,000000
EY:EYAO009:9,EY,9,,,3,,FFFFFF,000000
EY:EYAO009A:9A,EY,9A,,,3,,FFFFFF,000000
EY:EYAO010:10,EY,10,,,3,,FFFFFF,000000
EY:EYAO012:12,EY,12,,,3,,FFFFFF,000000
EY:EYAO012A:12A,EY,12A,,,3,,FFFFFF,000000
EY:EYAO012C:12C,EY,12C,,,3,,FFFFFF,000000
EY:EYAO013:13,EY,13,,,3,,FFFFFF,000000
EY:EYAO014:14,EY,14,,,3,,FFFFFF,000000
EY:EYAO018:18,EY,18,,,3,,FFFFFF,000000
EY:EYAO020:20,EY,20,,,3,,FFFFFF,000000
EY:EYBO024:24,EY,24,,,3,,FFFFFF,000000
EY:EYSO025:25,EY,25,,,3,,FFFFFF,000000
EY:EYSO026:26,EY,26,,,3,,FFFFFF,000000
EY:EYAO031X:31X,EY,31X,,,3,,FFFFFF,000000
EY:EYAO035:35,EY,35,,,3,,FFFFFF,000000
EY:EYDO041:41,EY,41,,,3,,FFFFFF,000000
EY:EYBO043:43,EY,43,,,3,,FFFFFF,000000
EY:EYFO044:44,EY,44,,,3,,FFFFFF,000000
EY:EYFO045:45,EY,45,,,3,,FFFFFF,000000
EY:EYMO046:46,EY,46,,,3,,FFFFFF,000000
EY:EYXO051:51,EY,51,,,3,,FFFFFF,000000
EY:EYRO052:52,EY,52,,,3,,FFFFFF,000000
EY:EYRO053:53,EY,53,,,3,,FFFFFF,000000
EY:EYAO054:54,EY,54,,,3,,FFFFFF,000000
EY:EYAO055:55,EY,55,,,3,,FFFFFF,000000
EY:EYAO055A:55A,EY,55A,,,3,,FFFFFF,000000
EY:EYXO056:56,EY,56,,,3,,FFFFFF,000000
EY:EYXO057:57,EY,57,,,3,,FFFFFF,000000
EY:EYAO058:58,EY,58,,,3,,FFFFFF,000000
EY:EYAO059:59,EY,59,,,3,,FFFFFF,000000
EY:EYAO064S:64,EY,64,,,3,,FFFFFF,000000
EY:EYAO071:71,EY,71,,,3,,FFFFFF,000000
EY:EYEO072:72,EY,72,,,3,,FFFFFF,000000
EY:EYRO075:75,EY,75,,,3,,FFFFFF,000000
EY:EYRO075H:75H,EY,75H,,,3,,FFFFFF,000000
EY:EYRX007:X7,EY,X7,,,3,,FFFFFF,000000
EY:EYRO078:78,EY,78,,,3,,FFFFFF,000000
EY:EYRO079:79,EY,79,,,3,,FFFFFF,000000
EY:EYAO080:80,EY,80,,,3,,FFFFFF,000000
EY:EYAO081:81,EY,81,,,3,,FFFFFF,000000
EY:EYAO082:82,EY,82,,,3,,FFFFFF,000000
EY:EYAO083:83,EY,83,,,3,,FFFFFF,000000
EY:EYAO084:84,EY,84,,,3,,FFFFFF,000000
EY:EYAO088:88,EY,88,,,3,,FFFFFF,000000
EY:EYAO099:99,EY,99,,,3,,FFFFFF,000000
EY:EYAO104:104,EY,104,,,3,,FFFFFF,000000
CROP:FWAO112:112,CROP,112,,,3,,FFFFFF,000000
CROP:FWAO112A:112A,CROP,112A,,,3,,FFFFFF,000000
EY:EYAO128:128,EY,128,,,3,,FFFFFF,000000
EY:EYAO129:129,EY,129,,,3,,FFFFFF,000000
EY:EYAO130:130,EY,130,,,3,,FFFFFF,000000
EY:EYAO131:131,EY,131,,,3,,FFFFFF,000000
EY:EYAO136:136,EY,136,,,3,,FFFFFF,000000
EY:EYAO142:142,EY,142,,,3,,FFFFFF,000000
EY:EYAO143:143,EY,143,,,3,,FFFFFF,000000
EY:EYAO144:144,EY,144,,,3,,FFFFFF,000000
EY:EYAO145:145,EY,145,,,3,,FFFFFF,000000
EY:EYAO150:150,EY,150,,,3,,FFFFFF,000000
EY:EYAO156:156,EY,156,,,3,,FFFFFF,000000
EY:EYAO165:165,EY,165,,,3,,FFFFFF,000000
EY:EYAO180:180,EY,180,,,3,,FFFFFF,000000
EY:EYAO182:182,EY,182,,,3,,FFFFFF,000000
EY:EYAO183:183,EY,183,,,3,,FFFFFF,000000
EY:EYAO194:194,EY,194,,,3,,FFFFFF,000000
EY:EYAO195:195,EY,195,,,3,,FFFFFF,000000
EY:EYAO196:196,EY,196,,,3,,FFFFFF,000000
EY:EYAO197:197,EY,197,,,3,,FFFFFF,000000
EY:EYAO199:199,EY,199,,,3,,FFFFFF,000000
EY:EYAO200:200,EY,200,,,3,,FFFFFF,000000
CROP:FRAO213:213,CROP,213,,,3,,FFFFFF,000000
EY:EYAO242:242,EY,242,,,3,,FFFFFF,000000
EY:EYAO277:277,EY,277,,,3,,FFFFFF,000000
EY:EYAO500:500,EY,500,,,3,,FFFFFF,000000
EY:EYAO501:501,EY,501,,,3,,FFFFFF,000000
EY:EYAO502:502,EY,502,,,3,,FFFFFF,000000
EY:EYAO503:503,EY,503,,,3,,FFFFFF,000000
EY:EYAO504:504,EY,504,,,3,,FFFFFF,000000
EY:EYAO512:512,EY,512,,,3,,FFFFFF,000000
EY:EYAO513:513,EY,513,,,3,,FFFFFF,000000
EY:EYAO520:520,EY,520,,,3,,FFFFFF,000000
EY:EYAO525:525,EY,525,,,3,,FFFFFF,000000
EY:EYAO526:526,EY,526,,,3,,FFFFFF,000000
EY:EYAO527:527,EY,527,,,3,,FFFFFF,000000
EY:EYAO535:535,EY,535,,,3,,FFFFFF,000000
EY:EYAO544:544,EY,544,,,3,,FFFFFF,000000
EY:EYAO550:550,EY,550,,,3,,FFFFFF,000000
EY:EYAO558:558,EY,558,,,3,,FFFFFF,000000
FRW:PB000058:571,FRW,571,,,3,,FFFFFF,000000
EY:EYAO720:720,EY,720,,,3,,FFFFFF,000000
EY:EYAO747:747,EY,747,,,3,,FFFFFF,000000
EY:EYAO822:822,EY,822,,,3,,FFFFFF,000000
EY:EYAG001:G1,EY,G1,,,3,,FFFFFF,000000
EY:EYAG002:G2,EY,G2,,,3,,FFFFFF,000000
EY:EYAG003:G3,EY,G3,,,3,,FFFFFF,000000
EY:EYAG004:G4,EY,G4,,,3,,FFFFFF,000000
EY:EYAG005:G5,EY,G5,,,3,,FFFFFF,000000
EY:EYAM001:M1,EY,M1,,,3,,FFFFFF,000000
EY:EYAM003:M3,EY,M3,,,3,,FFFFFF,000000
EY:EYAM005:M5,EY,M5,,,3,,FFFFFF,000000
EY:EYAM008:M8,EY,M8,,,3,,FFFFFF,000000
EY:EYAOAT0:OAT,EY,OAT,,,3,,FFFFFF,000000
EY:EYCX045:X45,EY,X45,,,3,,FFFFFF,000000
EY:EYCX046:X46,EY,X46,,,3,,FFFFFF,000000
EY:EYCX047:X47,EY,X47,,,3,,FFFFFF,000000
EY:EYBY012:Y12,EY,Y12,,,3,,FFFFFF,000000
EY:EYBY014:Y14,EY,Y14,,,3,,FFFFFF,000000
